Date, Open, High, Low, Close, Volume, Adj Close, Dividend, Stock Split
2016-06-20, 96.00, 96.57, 95.03, 95.10, 33942300, 95.10,,
2016-06-17, 96.62, 96.65, 95.30, 95.33, 60595000, 95.33,,
2016-06-16, 96.45, 97.75, 96.07, 97.55, 31236300, 97.55,,
2016-06-15, 97.82, 98.41, 97.03, 97.14, 29254300, 97.14,,
2016-06-14, 97.32, 98.48, 96.75, 97.46, 31870300, 97.46,,
2016-06-13, 98.69, 99.12, 97.10, 97.34, 37612900, 97.34,,
2016-06-10, 98.53, 99.35, 98.48, 98.83, 31462100, 98.83,,
2016-06-09, 98.50, 99.99, 98.46, 99.65, 26419600, 99.65,,
2016-06-08, 99.02, 99.56, 98.68, 98.94, 20812700, 98.94,,
2016-06-07, 99.25, 99.87, 98.96, 99.03, 22366400, 99.03,,
2016-06-06, 97.99, 101.89, 97.55, 98.63, 23242200, 98.63,,
2016-06-03, 97.79, 98.27, 97.45, 97.92, 28062900, 97.92,,
2016-06-02, 97.60, 97.84, 96.63, 97.72, 40004100, 97.72,,
2016-06-01, 99.02, 99.54, 98.33, 98.46, 29113400, 98.46,,
2016-05-31, 99.60, 100.40, 98.82, 99.86, 42084800, 99.86,,
2016-05-27, 99.44, 100.47, 99.25, 100.35, 36229500, 100.35,,
2016-05-26, 99.68, 100.73, 98.64, 100.41, 56093400, 100.41,,
2016-05-25, 98.67, 99.74, 98.11, 99.62, 38168800, 99.62,,
2016-05-24, 97.22, 98.09, 96.84, 97.90, 35036800, 97.90,,
2016-05-23, 95.87, 97.19, 95.67, 96.43, 37860500, 96.43,,
2016-05-20, 94.64, 95.43, 94.52, 95.22, 31804600, 95.22,,
2016-05-19, 94.64, 94.64, 93.57, 94.20, 30342700, 94.20,,
2016-05-18, 94.16, 95.21, 93.89, 94.56, 41923100, 94.56,,
2016-05-17, 94.55, 94.70, 93.01, 93.49, 46507400, 93.49,,
2016-05-16, 92.39, 94.39, 91.65, 93.88, 61140600, 93.88,,
2016-05-13, 90.00, 91.67, 90.00, 90.52, 44188200, 90.52,,
2016-05-12, 92.72, 92.78, 89.47, 90.34, 76109800, 90.34,,
2016-05-11, 93.48, 93.57, 92.46, 92.51, 28539900, 92.51,,
2016-05-10, 93.33, 93.57, 92.11, 93.42, 33592500, 93.42,,
2016-05-09, 93.00, 93.77, 92.59, 92.79, 32855300, 92.79,,
2016-05-06, 93.37, 93.45, 91.85, 92.72, 43458200, 92.72,,
2016-05-05, 94.00, 94.07, 92.68, 93.24, 35890500, 93.24, 0.57, 
2016-05-04, 95.20, 95.90, 93.82, 94.19, 41025500, 93.62,,
