Date,PX_CLOSE_1D
6/21/2010,0.872
6/22/2010,0.8764
6/23/2010,0.8717
6/24/2010,0.8739
6/25/2010,0.8667
6/28/2010,0.8742
6/29/2010,0.8722
6/30/2010,0.8488
7/1/2010,0.8407
7/2/2010,0.8433
7/6/2010,0.8393
7/7/2010,0.8527
7/8/2010,0.8643
7/9/2010,0.8775
7/12/2010,0.8777
7/13/2010,0.8759
7/14/2010,0.8833
7/15/2010,0.885
7/16/2010,0.8844
7/19/2010,0.8689
7/20/2010,0.8684
7/21/2010,0.8839
7/22/2010,0.8781
7/23/2010,0.8935
7/26/2010,0.8957
7/27/2010,0.9026
7/28/2010,0.9025
7/29/2010,0.8935
7/30/2010,0.9004
8/2/2010,0.9042
8/3/2010,0.9137
8/4/2010,0.9127
8/5/2010,0.9166
8/6/2010,0.9158
8/9/2010,0.9182
8/10/2010,0.9165
8/11/2010,0.9135
8/12/2010,0.897
8/13/2010,0.8964
8/16/2010,0.8929
8/17/2010,0.8982
8/18/2010,0.9053
8/19/2010,0.8983
8/20/2010,0.8927
8/23/2010,0.8941
8/24/2010,0.8913
8/25/2010,0.8816
8/26/2010,0.8841
8/27/2010,0.8864
8/30/2010,0.899
8/31/2010,0.8919
9/1/2010,0.8906
9/2/2010,0.9116
9/3/2010,0.911
9/7/2010,0.9175
9/8/2010,0.9107
9/9/2010,0.9182
9/10/2010,0.923
9/13/2010,0.9265
9/14/2010,0.936
9/15/2010,0.9396
9/16/2010,0.9382
9/17/2010,0.9369
9/20/2010,0.9361
9/21/2010,0.9472
9/22/2010,0.9552
9/23/2010,0.9568
9/24/2010,0.949
9/27/2010,0.9593
9/28/2010,0.9609
9/29/2010,0.9675
9/30/2010,0.9696
10/1/2010,0.9671
10/4/2010,0.9722
10/5/2010,0.9683
10/6/2010,0.9718
10/7/2010,0.9774
10/8/2010,0.9825
10/11/2010,0.9853
10/12/2010,0.9839
10/13/2010,0.9863
10/14/2010,0.9905
10/15/2010,0.9942
10/18/2010,0.9907
10/19/2010,0.989
10/20/2010,0.9686
10/21/2010,0.9871
10/22/2010,0.9772
10/25/2010,0.9828
10/26/2010,0.9905
10/27/2010,0.9853
10/28/2010,0.9719
10/29/2010,0.9789
11/1/2010,0.9837
11/2/2010,0.9871
11/3/2010,0.9995
11/4/2010,1.0062
11/5/2010,1.0149
11/8/2010,1.0159
11/9/2010,1.0136
11/10/2010,1.0036
11/11/2010,1.0053
11/12/2010,0.9979
11/15/2010,0.9848
11/16/2010,0.9853
11/17/2010,0.9767
11/18/2010,0.9796
11/19/2010,0.9899
11/22/2010,0.9866
11/23/2010,0.9886
11/24/2010,0.9722
11/26/2010,0.981
11/29/2010,0.9645
11/30/2010,0.9632
12/1/2010,0.959
12/2/2010,0.9684
12/3/2010,0.977
12/6/2010,0.9922
12/7/2010,0.9899
12/8/2010,0.9828
12/9/2010,0.9796
12/10/2010,0.9837
12/13/2010,0.9853
12/14/2010,0.9962
12/15/2010,0.999
12/16/2010,0.987
12/17/2010,0.9902
12/20/2010,0.9881
12/21/2010,0.9934
12/22/2010,0.9979
12/23/2010,0.999
12/27/2010,1.0046
12/28/2010,1.0047
12/29/2010,1.0101
12/30/2010,1.0179
1/3/2011,1.0233
1/4/2011,1.0168
1/5/2011,1.0052
1/6/2011,0.9995
1/7/2011,0.9944
1/10/2011,0.9958
1/11/2011,0.9956
1/12/2011,0.9872
1/13/2011,0.9965
1/14/2011,0.9975
1/18/2011,0.9938
1/19/2011,0.9994
1/20/2011,1.0008
1/21/2011,0.9871
1/24/2011,0.9899
1/25/2011,0.9974
1/26/2011,0.9967
1/27/2011,0.9993
1/28/2011,0.9919
1/31/2011,0.994
2/1/2011,0.9974
2/2/2011,1.0111
2/3/2011,1.0102
2/4/2011,1.0153
2/7/2011,1.0138
2/8/2011,1.0134
2/9/2011,1.0146
2/10/2011,1.0125
2/11/2011,1.0044
2/14/2011,1.0021
2/15/2011,1.0029
2/16/2011,0.9965
2/17/2011,1.0034
2/18/2011,1.0119
2/22/2011,1.0095
2/23/2011,0.9988
2/24/2011,1.0022
2/25/2011,1.0088
2/28/2011,1.0177
3/1/2011,1.0186
3/2/2011,1.0133
3/3/2011,1.0169
3/4/2011,1.0146
3/7/2011,1.0138
3/8/2011,1.0119
3/9/2011,1.0099
3/10/2011,1.0107
3/11/2011,1.0008
3/14/2011,1.0138
3/15/2011,1.0097
3/16/2011,0.991
3/17/2011,0.9839
3/18/2011,0.9803
3/21/2011,0.9961
3/22/2011,1.0064
3/23/2011,1.0103
3/24/2011,1.0132
3/25/2011,1.0212
3/28/2011,1.026
3/29/2011,1.0244
3/30/2011,1.0291
3/31/2011,1.0328
4/1/2011,1.0329
4/4/2011,1.0387
4/5/2011,1.0363
4/6/2011,1.0329
4/7/2011,1.0441
4/8/2011,1.0471
4/11/2011,1.0567
4/12/2011,1.0496
4/13/2011,1.0437
4/14/2011,1.0507
