Date, Open, High, Low, Close, Volume, Adj Close, Dividend, Stock Split
2016-06-20, 29.04, 29.22, 28.78, 28.80, 21907700, 28.80,,
2016-06-17, 28.88, 29.00, 28.69, 28.95, 32311200, 28.95,,
2016-06-16, 28.38, 28.92, 28.37, 28.87, 17439800, 28.87,,
2016-06-15, 28.49, 28.86, 28.41, 28.65, 30738600, 28.65,,
2016-06-14, 28.66, 29.00, 28.63, 28.96, 19277000, 28.96,,
2016-06-13, 28.97, 29.19, 28.82, 28.84, 17137000, 28.84,,
2016-06-10, 28.79, 29.03, 28.77, 29.03, 18164500, 29.03,,
2016-06-09, 28.97, 29.19, 28.83, 29.14, 18293400, 29.14,,
2016-06-08, 29.09, 29.27, 29.06, 29.14, 17752300, 29.14,,
2016-06-07, 28.90, 29.35, 28.82, 29.07, 21564800, 29.07,,
2016-06-06, 29.07, 29.41, 29.06, 29.10, 16137400, 29.10,,
2016-06-03, 29.13, 29.21, 28.90, 29.13, 18027500, 29.13,,
2016-06-02, 28.98, 29.15, 28.92, 29.08, 19503100, 29.08,,
2016-06-01, 28.84, 29.04, 28.80, 28.90, 22237200, 28.90,,
2016-05-31, 28.80, 29.08, 28.76, 29.05, 28358700, 29.05,,
2016-05-27, 28.95, 29.04, 28.79, 28.92, 16642900, 28.92,,
2016-05-26, 28.86, 29.04, 28.80, 28.90, 19288100, 28.90,,
2016-05-25, 28.58, 29.00, 28.52, 28.92, 25696800, 28.92,,
2016-05-24, 28.01, 28.58, 28.01, 28.47, 26489200, 28.47,,
2016-05-23, 27.78, 28.25, 27.78, 27.94, 19746800, 27.94,,
2016-05-20, 27.63, 28.15, 27.62, 27.97, 32678500, 27.97,,
2016-05-19, 27.99, 28.29, 27.40, 27.57, 50079800, 27.57,,
2016-05-18, 26.61, 26.96, 26.49, 26.72, 31395600, 26.72,,
2016-05-17, 26.90, 27.06, 26.55, 26.65, 25896400, 26.65,,
2016-05-16, 26.57, 27.12, 26.56, 26.97, 20875300, 26.97,,
2016-05-13, 26.55, 26.89, 26.46, 26.53, 20760500, 26.53,,
2016-05-12, 26.81, 26.81, 26.41, 26.67, 19679400, 26.67,,
2016-05-11, 27.09, 27.11, 26.68, 26.70, 19001800, 26.70,,
2016-05-10, 26.67, 27.10, 26.51, 27.03, 22629200, 27.03,,
2016-05-09, 26.52, 26.68, 26.39, 26.51, 16936000, 26.51,,
2016-05-06, 26.19, 26.54, 25.81, 26.53, 25572600, 26.53,,
2016-05-05, 26.46, 26.57, 26.21, 26.21, 23023600, 26.21,,
2016-05-04, 26.80, 26.82, 26.28, 26.44, 32598200, 26.44,,
2016-05-03, 27.16, 27.19, 26.61, 26.86, 34960400, 26.86,,
2016-05-02, 27.48, 27.52, 27.20, 27.37, 27324800, 27.37,,
2016-04-29, 27.72, 27.83, 27.14, 27.49, 33833200, 27.49,,
2016-04-28, 28.45, 28.59, 27.79, 27.96, 28927400, 27.96,,
2016-04-27, 28.44, 28.65, 28.31, 28.64, 20791600, 28.64,,
2016-04-26, 28.27, 28.49, 28.22, 28.45, 18022800, 28.45,,
2016-04-25, 28.11, 28.28, 27.98, 28.23, 16434800, 28.23,,
2016-04-22, 28.30, 28.55, 28.07, 28.15, 23147600, 28.15,,
2016-04-21, 28.42, 28.51, 28.16, 28.24, 17339900, 28.24,,
2016-04-20, 28.40, 28.68, 28.26, 28.44, 19937800, 28.44,,
2016-04-19, 28.33, 28.44, 28.20, 28.33, 20307700, 28.33,,
2016-04-18, 27.90, 28.25, 27.80, 28.19, 15762900, 28.19,,
2016-04-15, 28.10, 28.13, 27.73, 27.90, 23804400, 27.90,,
2016-04-14, 28.38, 28.40, 28.10, 28.25, 15049100, 28.25,,
2016-04-13, 27.96, 28.28, 27.72, 28.23, 25433300, 28.23,,
2016-04-12, 27.14, 27.66, 26.95, 27.64, 27741400, 27.64,,
2016-04-11, 27.88, 28.18, 27.61, 27.62, 18762900, 27.62,,
2016-04-08, 27.71, 27.95, 27.58, 27.69, 14495600, 27.69,,
2016-04-07, 27.90, 27.90, 27.53, 27.60, 17016800, 27.60,,
2016-04-06, 27.70, 28.04, 27.62, 28.00, 20395800, 28.00,,
2016-04-05, 27.64, 27.83, 27.46, 27.58, 24245700, 27.58,,
2016-04-04, 28.37, 28.41, 28.01, 28.14, 17890000, 28.14, 0.26, 
2016-04-01, 28.30, 28.70, 28.12, 28.69, 23026400, 28.43,,
2016-03-31, 28.53, 28.67, 28.35, 28.47, 18377600, 28.21,,
2016-03-30, 28.34, 28.68, 28.26, 28.46, 19390200, 28.20,,
2016-03-29, 27.87, 28.19, 27.69, 28.10, 17139300, 27.85,,
2016-03-28, 27.99, 28.03, 27.79, 27.90, 12785900, 27.65,,
2016-03-24, 27.77, 28.01, 27.59, 27.96, 15871900, 27.71,,
2016-03-23, 28.26, 28.28, 27.73, 27.83, 19217500, 27.58,,
2016-03-22, 28.20, 28.38, 27.90, 28.28, 23599300, 28.02,,
2016-03-21, 28.10, 28.35, 28.04, 28.19, 23799200, 27.93,,
2016-03-18, 28.23, 28.38, 27.97, 28.33, 43132400, 28.07,,
2016-03-17, 27.92, 28.44, 27.87, 28.19, 28501900, 27.93,,
2016-03-16, 27.52, 27.95, 27.51, 27.88, 19087800, 27.63,,
2016-03-15, 27.48, 27.69, 27.45, 27.66, 16917200, 27.41,,
2016-03-14, 27.82, 27.86, 27.60, 27.70, 18291700, 27.45,,
2016-03-11, 27.82, 27.91, 27.67, 27.86, 21873100, 27.61,,
2016-03-10, 27.76, 27.98, 27.03, 27.38, 33327300, 27.13,,
2016-03-09, 27.24, 27.80, 27.12, 27.61, 38890200, 27.36,,
2016-03-08, 26.97, 27.30, 26.69, 27.05, 23821300, 26.80,,
2016-03-07, 26.58, 27.18, 26.33, 27.14, 21500100, 26.89,,
2016-03-04, 26.92, 26.96, 26.67, 26.80, 19429900, 26.56,,
2016-03-03, 26.95, 26.97, 26.59, 26.87, 19002200, 26.63,,
2016-03-02, 26.80, 26.91, 26.60, 26.90, 19020100, 26.66,,
2016-03-01, 26.45, 26.93, 26.24, 26.83, 25245400, 26.59,,
2016-02-29, 26.42, 26.65, 26.15, 26.18, 24763100, 25.94,,
2016-02-26, 26.80, 26.85, 26.32, 26.41, 18113000, 26.17,,
2016-02-25, 26.49, 26.60, 26.20, 26.60, 18655100, 26.36,,
2016-02-24, 25.89, 26.33, 25.65, 26.32, 22960800, 26.08,,
2016-02-23, 26.54, 26.54, 26.06, 26.12, 28097500, 25.88,,
2016-02-22, 26.87, 26.91, 26.42, 26.63, 24608100, 26.39,,
2016-02-19, 26.27, 26.56, 26.25, 26.55, 28791700, 26.31,,
2016-02-18, 26.44, 26.58, 26.28, 26.43, 31288200, 26.19,,
2016-02-17, 26.17, 26.59, 26.08, 26.46, 36904700, 26.22,,
2016-02-16, 25.27, 25.98, 25.19, 25.84, 40401700, 25.61,,
2016-02-12, 24.89, 25.36, 24.52, 25.11, 49753600, 24.88,,
2016-02-11, 24.09, 24.97, 24.09, 24.68, 92696000, 24.46,,
2016-02-10, 23.13, 23.13, 22.46, 22.51, 36896100, 22.31,,
2016-02-09, 22.60, 22.86, 22.53, 22.65, 30767200, 22.44,,
2016-02-08, 22.63, 23.02, 22.48, 22.93, 38842100, 22.72,,
2016-02-05, 23.51, 23.66, 22.81, 22.89, 32641000, 22.68,,
2016-02-04, 23.17, 23.57, 22.93, 23.54, 29280500, 23.33,,
2016-02-03, 23.09, 23.18, 22.58, 23.10, 32231400, 22.89,,
2016-02-02, 23.23, 23.25, 22.73, 22.83, 36203700, 22.62,,
2016-02-01, 23.46, 23.57, 23.23, 23.48, 24006400, 23.27,,
2016-01-29, 23.40, 23.80, 23.20, 23.79, 39692600, 23.57,,
2016-01-28, 23.73, 23.79, 22.98, 23.11, 31833500, 22.90,,
2016-01-27, 23.69, 23.90, 23.30, 23.43, 24654000, 23.22,,
2016-01-26, 23.24, 23.85, 23.24, 23.72, 25162200, 23.51,,
2016-01-25, 23.38, 23.52, 23.14, 23.17, 64066100, 22.96,,
2016-01-22, 23.60, 23.64, 22.99, 23.37, 55049000, 23.16,,
2016-01-21, 23.09, 23.45, 22.87, 22.90, 46267900, 22.69,,
2016-01-20, 23.40, 23.51, 22.47, 22.90, 83632400, 22.69,,
2016-01-19, 23.80, 24.03, 23.59, 23.85, 52533500, 23.63,,
2016-01-15, 23.93, 24.43, 23.57, 23.62, 64092800, 23.41,,
2016-01-14, 24.69, 24.90, 24.46, 24.66, 42902400, 24.44,,
2016-01-13, 25.42, 25.52, 24.57, 24.60, 33431600, 24.38,,
2016-01-12, 25.51, 25.57, 25.03, 25.35, 30122400, 25.12,,
2016-01-11, 24.93, 25.35, 24.93, 25.27, 32346900, 25.04,,
2016-01-08, 25.55, 25.63, 24.72, 24.78, 28609700, 24.56,,
2016-01-07, 25.49, 25.74, 25.12, 25.41, 43235400, 25.18,,
2016-01-06, 26.08, 26.14, 25.82, 26.01, 30799800, 25.77,,
2016-01-05, 26.54, 26.66, 26.18, 26.29, 22024900, 26.05,,
2016-01-04, 26.39, 26.42, 25.88, 26.41, 35827100, 26.17, 0.21, 
2015-12-31, 27.38, 27.45, 27.14, 27.16, 17041500, 26.71,,
2015-12-30, 27.66, 27.77, 27.52, 27.53, 10620300, 27.07,,
2015-12-29, 27.44, 27.82, 27.40, 27.77, 16319600, 27.31,,
2015-12-28, 27.30, 27.37, 27.13, 27.31, 14204900, 26.85,,
2015-12-24, 27.41, 27.55, 27.37, 27.38, 8202400, 26.92,,
2015-12-23, 27.04, 27.41, 27.00, 27.40, 18803700, 26.94,,
2015-12-22, 26.85, 26.90, 26.56, 26.89, 18966300, 26.44,,
2015-12-21, 26.58, 26.65, 26.41, 26.64, 20242900, 26.19,,
2015-12-18, 26.60, 26.82, 26.26, 26.27, 36732700, 25.83,,
2015-12-17, 27.29, 27.31, 26.70, 26.72, 24812200, 26.27,,
2015-12-16, 27.00, 27.29, 26.68, 27.24, 22731500, 26.78,,
2015-12-15, 26.72, 27.11, 26.61, 26.85, 29911700, 26.40,,
2015-12-14, 26.30, 26.52, 25.96, 26.49, 32642100, 26.05,,
2015-12-11, 26.49, 26.49, 26.13, 26.16, 34295700, 25.72,,
2015-12-10, 26.74, 27.04, 26.66, 26.77, 23382400, 26.32,,
2015-12-09, 26.96, 27.35, 26.66, 26.73, 24127400, 26.28,,
2015-12-08, 27.17, 27.29, 27.02, 27.15, 18635700, 26.70,,
2015-12-07, 27.56, 27.56, 27.26, 27.49, 15350200, 27.03,,
2015-12-04, 26.95, 27.55, 26.95, 27.48, 28143700, 27.02,,
2015-12-03, 27.63, 27.69, 26.82, 26.95, 25783800, 26.50,,
2015-12-02, 27.49, 27.90, 27.37, 27.44, 29178200, 26.98,,
2015-12-01, 27.20, 27.65, 27.20, 27.57, 31406300, 27.11,,
2015-11-30, 27.34, 27.48, 27.20, 27.25, 30736700, 26.79,,
2015-11-27, 27.25, 27.48, 27.24, 27.32, 9532300, 26.86,,
2015-11-25, 27.32, 27.39, 27.00, 27.24, 22472500, 26.78,,
2015-11-24, 27.25, 27.44, 27.00, 27.27, 32859200, 26.81,,
2015-11-23, 27.65, 27.84, 27.34, 27.43, 24684600, 26.97,,
2015-11-20, 27.59, 27.78, 27.46, 27.57, 26502800, 27.11,,
2015-11-19, 27.10, 27.65, 27.05, 27.37, 27417400, 26.91,,
2015-11-18, 27.00, 27.16, 26.73, 27.12, 27015700, 26.67,,
2015-11-17, 26.80, 27.27, 26.68, 26.81, 30490200, 26.36,,
2015-11-16, 26.07, 27.00, 26.06, 26.79, 44949600, 26.34,,
2015-11-13, 26.29, 26.68, 25.82, 26.21, 94556200, 25.77,,
2015-11-12, 27.74, 28.07, 27.72, 27.83, 38135900, 27.36,,
2015-11-11, 28.10, 28.10, 27.75, 27.82, 32599300, 27.35,,
2015-11-10, 28.18, 28.22, 27.90, 27.98, 26701800, 27.51,,
2015-11-09, 28.35, 28.49, 28.00, 28.18, 25865900, 27.71,,
2015-11-06, 28.31, 28.55, 28.16, 28.45, 26107600, 27.97,,
2015-11-05, 28.50, 28.61, 28.29, 28.43, 21988600, 27.95,,
2015-11-04, 28.79, 28.82, 28.37, 28.47, 28591800, 27.99,,
2015-11-03, 28.61, 28.71, 28.49, 28.61, 30555300, 28.13,,
2015-11-02, 28.87, 28.87, 28.51, 28.77, 28912600, 28.29,,
2015-10-30, 29.00, 29.25, 28.85, 28.85, 22334100, 28.37,,
2015-10-29, 29.15, 29.21, 28.93, 29.14, 16717800, 28.65,,
2015-10-28, 29.29, 29.45, 29.04, 29.36, 23741400, 28.87,,
2015-10-27, 28.72, 29.06, 28.58, 29.05, 19480600, 28.56,,
2015-10-26, 29.32, 29.49, 28.88, 28.95, 20354800, 28.47,,
2015-10-23, 29.02, 29.38, 28.93, 29.35, 26076900, 28.86,,
2015-10-22, 28.56, 29.21, 28.50, 29.01, 32162500, 28.52,,
2015-10-21, 28.60, 28.82, 28.22, 28.28, 19008900, 27.81,,
2015-10-20, 28.20, 28.52, 28.15, 28.50, 20335800, 28.02,,
2015-10-19, 28.12, 28.29, 27.94, 28.25, 20778100, 27.78,,
2015-10-16, 28.34, 28.35, 28.00, 28.25, 19912500, 27.78,,
2015-10-15, 28.10, 28.19, 27.87, 28.15, 18996900, 27.68,,
2015-10-14, 27.75, 27.90, 27.59, 27.82, 20144000, 27.35,,
2015-10-13, 27.75, 27.95, 27.74, 27.85, 15107200, 27.38,,
2015-10-12, 27.93, 28.10, 27.76, 27.96, 14486000, 27.49,,
2015-10-09, 28.01, 28.15, 27.82, 27.91, 22125800, 27.44,,
2015-10-08, 27.51, 28.02, 27.43, 27.91, 22500200, 27.44,,
2015-10-07, 27.52, 27.95, 27.00, 27.54, 29749700, 27.08,,
2015-10-06, 27.03, 27.47, 26.98, 27.23, 34609900, 26.77,,
2015-10-05, 26.04, 26.98, 25.97, 26.85, 30217900, 26.40,,
2015-10-02, 25.40, 25.79, 25.34, 25.76, 34910700, 25.33,,
2015-10-01, 26.05, 26.16, 25.55, 25.73, 26933200, 25.30, 0.21, 
2015-09-30, 26.00, 26.38, 25.88, 26.25, 32093700, 25.60,,
2015-09-29, 25.64, 25.93, 25.56, 25.64, 27095600, 25.01,,
2015-09-28, 25.83, 26.02, 25.59, 25.66, 27211200, 25.03,,
2015-09-25, 25.81, 26.30, 25.80, 26.03, 37618300, 25.39,,
2015-09-24, 25.09, 25.50, 24.92, 25.41, 35598000, 24.79,,
2015-09-23, 25.22, 25.31, 25.01, 25.28, 18804200, 24.66,,
2015-09-22, 25.06, 25.21, 24.97, 25.14, 21305200, 24.52,,
2015-09-21, 25.45, 25.82, 25.35, 25.54, 21945600, 24.91,,
2015-09-18, 25.57, 25.74, 25.25, 25.54, 40020100, 24.91,,
2015-09-17, 25.96, 26.28, 25.81, 25.88, 25409600, 25.24,,
