Date,PX_CLOSE_1D
6/21/2010,6216.98
6/22/2010,6292.97
6/23/2010,6269.04
6/24/2010,6204.52
6/25/2010,6115.48
6/28/2010,6070.6
6/29/2010,6157.22
6/30/2010,5952.03
7/1/2010,5965.52
7/2/2010,5857.43
7/6/2010,5816.2
7/7/2010,5940.98
7/8/2010,5992.86
7/9/2010,6035.66
7/12/2010,6065.24
7/13/2010,6077.19
7/14/2010,6191.13
7/15/2010,6209.76
7/16/2010,6149.36
7/19/2010,6040.27
7/20/2010,6009.11
7/21/2010,5967.49
7/22/2010,5990.38
7/23/2010,6142.15
7/26/2010,6166.34
7/27/2010,6194.21
7/28/2010,6207.31
7/29/2010,6178.94
7/30/2010,6134.7
8/2/2010,6147.97
8/3/2010,6292.13
8/4/2010,6307.91
8/5/2010,6331.33
8/6/2010,6333.58
8/9/2010,6259.63
8/10/2010,6351.6
8/11/2010,6286.25
8/12/2010,6154.07
8/13/2010,6135.17
8/16/2010,6110.41
8/17/2010,6110.57
8/18/2010,6206.4
8/19/2010,6186.31
8/20/2010,6075.13
8/23/2010,6005.16
8/24/2010,6010.91
8/25/2010,5935.44
8/26/2010,5899.5
8/27/2010,5912.58
8/30/2010,5951.17
8/31/2010,5912.41
9/1/2010,5925.22
9/2/2010,6083.9
9/3/2010,6083.85
9/7/2010,6155.04
9/8/2010,6117.89
9/9/2010,6164.44
9/10/2010,6221.52
9/13/2010,6214.77
9/14/2010,6261.68
9/15/2010,6275.41
9/16/2010,6261.87
9/17/2010,6249.65
9/20/2010,6209.76
9/21/2010,6294.58
9/22/2010,6275.98
9/23/2010,6208.33
9/24/2010,6184.71
9/27/2010,6298.3
9/28/2010,6278.89
9/29/2010,6276.09
9/30/2010,6246.92
10/1/2010,6229.02
10/4/2010,6211.34
10/5/2010,6134.21
10/6/2010,6215.83
10/7/2010,6270.73
10/8/2010,6276.25
10/11/2010,6291.67
10/12/2010,6309.51
10/13/2010,6304.57
10/14/2010,6434.52
10/15/2010,6455.27
10/18/2010,6492.3
10/19/2010,6516.63
10/20/2010,6490.69
10/21/2010,6524.55
10/22/2010,6611.01
10/25/2010,6605.84
10/26/2010,6639.21
10/27/2010,6613.8
10/28/2010,6568
10/29/2010,6595.28
11/1/2010,6601.37
11/2/2010,6604.86
11/3/2010,6654.31
11/4/2010,6617.8
11/5/2010,6734.69
11/8/2010,6754.2
11/9/2010,6750.5
11/10/2010,6787.81
11/11/2010,6719.84
11/12/2010,6723.41
11/15/2010,6734.61
11/16/2010,6790.17
11/17/2010,6663.24
11/18/2010,6700.07
11/19/2010,6832.11
11/22/2010,6843.55
11/23/2010,6822.05
11/24/2010,6705
11/26/2010,6879.66
11/29/2010,6848.98
11/30/2010,6697.97
12/1/2010,6688.49
12/2/2010,6866.63
12/3/2010,6957.61
12/6/2010,6947.72
12/7/2010,6954.38
12/8/2010,7001.91
12/9/2010,6975.87
12/10/2010,6964.16
12/13/2010,7006.17
12/14/2010,7029.39
12/15/2010,7027.4
12/16/2010,7016.37
12/17/2010,7024.4
12/20/2010,6982.45
12/21/2010,7018.6
12/22/2010,7077.99
12/23/2010,7067.92
12/27/2010,7057.69
12/28/2010,6970.73
12/29/2010,6972.1
12/30/2010,6995.47
1/3/2011,6914.19
1/4/2011,6989.74
1/5/2011,6975.35
1/6/2011,6939.82
1/7/2011,6981.39
1/10/2011,6947.84
1/11/2011,6857.06
1/12/2011,6941.57
1/13/2011,7068.78
1/14/2011,7075.11
1/18/2011,7078.06
1/19/2011,7143.45
1/20/2011,7082.76
1/21/2011,7024.27
1/24/2011,7062.42
1/25/2011,7067.77
1/26/2011,7059.01
1/27/2011,7127.35
1/28/2011,7155.58
1/31/2011,7102.8
2/1/2011,7077.48
2/2/2011,7184.27
2/3/2011,7183.67
2/4/2011,7193.68
2/7/2011,7216.21
2/8/2011,7283.62
2/9/2011,7323.24
2/10/2011,7320.9
2/11/2011,7340.28
2/14/2011,7371.2
2/15/2011,7396.63
2/16/2011,7400.04
2/17/2011,7414.3
2/18/2011,7405.51
2/22/2011,7321.81
2/23/2011,7318.35
2/24/2011,7194.6
2/25/2011,7130.5
2/28/2011,7185.17
3/1/2011,7272.32
3/2/2011,7223.3
3/3/2011,7181.12
3/4/2011,7225.96
3/7/2011,7178.9
3/8/2011,7161.93
3/9/2011,7164.75
3/10/2011,7131.8
3/11/2011,7063.09
3/14/2011,6981.49
3/15/2011,6866.63
3/16/2011,6647.66
3/17/2011,6513.84
3/18/2011,6656.88
3/21/2011,6664.4
3/22/2011,6816.12
3/23/2011,6780.97
3/24/2011,6804.45
3/25/2011,6933.58
3/28/2011,6946.36
