Date, Open, High, Low, Close, Volume, Adj Close, Dividend, Stock Split
2016-06-20, 45.09, 45.31, 44.96, 44.98, 10712400, 44.98,,
2016-06-17, 45.17, 45.22, 44.38, 44.79, 20805400, 44.79,,
2016-06-16, 44.87, 45.34, 44.72, 45.31, 11305400, 45.31,,
2016-06-15, 45.12, 45.34, 44.88, 45.01, 8360400, 45.01,,
2016-06-14, 44.85, 45.13, 44.44, 45.04, 11298200, 45.04,,
2016-06-13, 45.48, 45.67, 45.09, 45.12, 10613500, 45.12, 0.35, 
2016-06-10, 45.62, 46.01, 45.56, 45.99, 12357000, 45.64,,
2016-06-09, 45.33, 45.80, 45.31, 45.76, 8042900, 45.41,,
2016-06-08, 45.24, 45.66, 45.19, 45.55, 7915400, 45.20,,
2016-06-07, 45.35, 45.48, 45.20, 45.32, 9812600, 44.98,,
2016-06-06, 45.09, 45.48, 45.08, 45.37, 10310600, 45.02,,
2016-06-03, 44.75, 45.05, 44.68, 45.04, 13434900, 44.70,,
2016-06-02, 44.70, 44.72, 44.50, 44.72, 6693900, 44.38,,
2016-06-01, 44.60, 44.78, 44.49, 44.70, 8916000, 44.36,,
2016-05-31, 44.98, 44.98, 44.26, 44.60, 18935200, 44.26,,
2016-05-27, 44.71, 44.96, 44.65, 44.78, 7893900, 44.44,,
2016-05-26, 44.53, 44.77, 44.44, 44.69, 8695800, 44.35,,
2016-05-25, 44.51, 44.63, 44.25, 44.38, 9218100, 44.04,,
2016-05-24, 44.10, 44.42, 44.00, 44.37, 12634200, 44.03,,
2016-05-23, 44.07, 44.16, 43.94, 43.97, 13554700, 43.64,,
2016-05-20, 44.51, 44.54, 43.94, 43.95, 12914100, 43.62,,
2016-05-19, 44.25, 44.39, 44.04, 44.32, 10659500, 43.98,,
2016-05-18, 44.56, 44.83, 44.23, 44.48, 12524300, 44.14,,
2016-05-17, 45.45, 45.56, 44.71, 44.75, 17457000, 44.41,,
2016-05-16, 45.16, 45.73, 45.14, 45.62, 9413600, 45.27,,
2016-05-13, 45.75, 45.83, 45.23, 45.35, 10341200, 45.00,,
2016-05-12, 45.55, 45.90, 45.49, 45.83, 10463400, 45.48,,
2016-05-11, 45.73, 45.88, 45.45, 45.46, 8833100, 45.11,,
2016-05-10, 45.44, 45.84, 45.42, 45.75, 8933500, 45.40,,
2016-05-09, 45.32, 45.50, 45.17, 45.24, 8110600, 44.90,,
2016-05-06, 45.06, 45.41, 44.92, 45.32, 8564000, 44.98,,
2016-05-05, 44.93, 45.49, 44.87, 45.06, 8801100, 44.72,,
2016-05-04, 44.72, 45.11, 44.51, 44.98, 9350500, 44.64,,
2016-05-03, 44.87, 45.07, 44.65, 44.84, 10420500, 44.50,,
2016-05-02, 44.57, 45.19, 44.57, 44.98, 12577500, 44.64,,
2016-04-29, 44.53, 44.86, 44.50, 44.80, 11716000, 44.46,,
2016-04-28, 44.50, 44.90, 44.46, 44.63, 10932500, 44.29,,
2016-04-27, 44.64, 44.86, 44.25, 44.68, 11335500, 44.34,,
