Ticker PE
MMM 22.79
ABT 29.87
ABBV 19.19
ACN 19.37
ATVI 36.41
AYI 43.73
AAP 26.06
AES 28.78
AET 17.48
AFL 12.02
AMG 17.01
A 33.78
APD 55.82
ALK 9.17
ALB 17.86
AGN 22.72
LNT 22.65
ALLE 35.06
ADS 27.68
ALL 16.80
MO 23.10
AEE 19.79
AEP 16.74
AXP 11.59
AMT 72.36
AWK 29.49
AMP 11.71
ABC 12.05
AME 19.00
APH 24.65
AON 20.83
AIV 21.39
ADM 17.98
AJG 22.35
AIZ 12.52
T 18.60
AN 12.86
AZO 20.49
AVB 31.33
AVY 23.39
BLL 84.74
BAC 12.62
BK 14.53
BCR 51.75
BAX 5.52
BBT 14.69
BDX 46.44
BRK-B 14.65
BBY 11.78
BLK 19.97
HRB 15.94
BA 23.71
BWA 12.03
BXP 36.44
BMY 37.01
BF-B 18.68
CPB 27.80
COF 9.61
CAH 19.53
KMX 19.23
CCL 16.21
CAT 55.04
CBG 18.75
CBS 15.43
CNC 27.38
CTL 17.78
CF 10.49
SCHW 25.80
CMG 57.79
CB 21.04
CHD 32.13
CI 16.67
C 9.68
CLX 25.83
CMS 22.39
COH 29.98
KO 25.02
CL 48.02
CMA 20.07
ED 20.24
GLW 12.47
CCI 96.90
CSRA 49.51
CMI 17.17
CVS 22.40
DHI 14.36
DHR 16.21
DRI 21.54
DVA 34.53
DE 15.72
DLPH 11.26
DAL 6.14
DLR 224.33
DFS 10.86
DG 22.77
D 23.77
DOV 20.85
DOW 7.84
DPS 22.16
DTE 22.97
DD 27.53
DUK 22.00
DNB 27.65
EMN 11.01
ETN 16.16
ECL 38.48
EIX 27.80
EW 46.79
EMC 27.66
EMR 19.05
ETR 82.22
EFX 34.58
EQR 5.87
ESS 55.45
EL 30.18
ES 20.86
EXC 18.74
EXR 41.74
XOM 34.77
FRT 47.50
FDX 25.02
FIS 54.16
FLS 23.24
FLR 20.12
FTI 36.84
FL 14.97
F 5.75
FBHS 26.79
BEN 13.48
GPS 12.86
GD 15.83
GE 26.42
GGP 43.26
GIS 25.47
GM 3.94
GPC 21.97
GPN 36.54
GS 15.37
GWW 20.10
HBI 20.40
HOG 14.23
HAR 17.40
HRS 34.37
HIG 12.47
HCA 13.14
HPE 17.94
HD 24.05
HON 18.41
HRL 25.11
HST 17.19
HPQ 7.50
HUM 24.95
ITW 21.76
IR 12.59
ICE 23.81
IBM 13.30
IP 24.91
IPG 19.19
IFF 26.50
IVZ 14.92
IRM 54.99
JEC 28.41
JNJ 23.15
JCI 45.20
JPM 11.24
JNPR 14.33
KSU 21.44
K 52.72
KEY 12.68
KMB 23.99
KIM 17.45
KMI 727.14
KSS 13.27
KR 15.26
LB 19.10
LH 23.37
LEG 19.03
LEN 12.49
LVLT 4.95
LLY 35.16
LNC 10.86
LMT 21.67
L 791.35
LOW 27.21
LYB 8.05
