Date, Open, High, Low, Close, Volume, Adj Close, Dividend, Stock Split
2016-06-20, 37.41, 38.01, 37.36, 37.46, 277900, 37.46,,
2016-06-17, 36.87, 37.16, 36.68, 36.86, 918000, 36.86,,
2016-06-16, 36.87, 37.24, 36.37, 36.76, 361500, 36.76,,
2016-06-15, 37.33, 37.88, 37.14, 37.24, 251600, 37.24,,
2016-06-14, 37.58, 38.05, 37.04, 37.27, 235400, 37.27,,
2016-06-13, 38.02, 38.23, 37.62, 37.74, 243100, 37.74,,
2016-06-10, 38.04, 38.47, 37.94, 38.16, 184000, 38.16,,
2016-06-09, 38.70, 38.71, 38.16, 38.60, 204600, 38.60,,
2016-06-08, 38.60, 39.05, 38.45, 39.01, 244400, 39.01, 0.33, 
2016-06-07, 39.19, 39.32, 38.75, 38.77, 212300, 38.44,,
2016-06-06, 38.83, 39.56, 38.83, 39.29, 275200, 38.96,,
2016-06-03, 39.49, 39.49, 38.11, 38.88, 368400, 38.55,,
2016-06-02, 39.94, 39.94, 39.62, 39.91, 355900, 39.57,,
2016-06-01, 39.56, 40.18, 39.31, 40.18, 393900, 39.84,,
2016-05-31, 39.91, 40.04, 39.53, 39.81, 239800, 39.47,,
2016-05-27, 39.49, 39.84, 39.34, 39.84, 147800, 39.50,,
2016-05-26, 39.87, 39.87, 39.34, 39.42, 143500, 39.08,,
2016-05-25, 39.65, 40.10, 39.55, 39.94, 229600, 39.60,,
2016-05-24, 38.71, 39.54, 38.71, 39.49, 243400, 39.15,,
2016-05-23, 38.55, 38.69, 38.06, 38.48, 138500, 38.15,,
2016-05-20, 38.28, 38.85, 38.28, 38.62, 221200, 38.29,,
2016-05-19, 38.49, 39.23, 37.74, 38.20, 198500, 37.87,,
2016-05-18, 37.17, 38.68, 37.17, 38.64, 224900, 38.31,,
2016-05-17, 37.58, 37.97, 36.93, 37.17, 246100, 36.85,,
2016-05-16, 37.40, 38.03, 37.26, 37.77, 163900, 37.45,,
2016-05-13, 37.83, 38.19, 37.01, 37.26, 191500, 36.94,,
2016-05-12, 37.89, 38.27, 37.61, 37.91, 190500, 37.59,,
2016-05-11, 38.16, 38.35, 37.82, 37.82, 235200, 37.50,,
2016-05-10, 37.90, 38.41, 37.73, 38.12, 173500, 37.80,,
2016-05-09, 37.48, 37.94, 37.39, 37.74, 282100, 37.42,,
2016-05-06, 37.12, 37.57, 37.03, 37.53, 320600, 37.21,,
2016-05-05, 37.82, 37.92, 37.35, 37.36, 190600, 37.04,,
2016-05-04, 37.70, 38.21, 37.28, 37.67, 215300, 37.35,,
2016-05-03, 38.51, 38.76, 37.78, 38.11, 316500, 37.79,,
2016-05-02, 38.74, 39.12, 38.53, 39.06, 345400, 38.73,,
2016-04-29, 38.12, 38.95, 37.89, 38.69, 1419200, 38.36,,
2016-04-28, 38.66, 39.34, 37.92, 38.03, 307100, 37.71,,
2016-04-27, 38.63, 38.77, 38.16, 38.59, 258400, 38.26,,
2016-04-26, 37.86, 38.67, 37.80, 38.50, 316700, 38.17,,
2016-04-25, 38.29, 38.48, 37.60, 37.87, 277500, 37.55,,
2016-04-22, 37.99, 38.41, 37.90, 38.25, 284300, 37.92,,
2016-04-21, 38.40, 38.75, 37.84, 37.88, 364400, 37.56,,
2016-04-20, 37.62, 38.33, 37.53, 38.21, 281000, 37.88,,
2016-04-19, 37.52, 37.76, 37.34, 37.62, 357900, 37.30,,
2016-04-18, 37.10, 37.65, 36.96, 37.51, 226400, 37.19,,
2016-04-15, 37.22, 37.53, 37.02, 37.19, 162800, 36.87,,
2016-04-14, 37.00, 37.63, 36.89, 37.35, 300500, 37.03,,
2016-04-13, 36.06, 37.09, 35.68, 37.08, 408600, 36.76,,
2016-04-12, 35.33, 35.98, 35.17, 35.85, 269000, 35.54,,
2016-04-11, 35.17, 35.85, 34.82, 35.14, 355100, 34.84,,
2016-04-08, 35.27, 35.57, 34.75, 34.94, 293100, 34.64,,
2016-04-07, 35.62, 35.73, 34.61, 34.91, 268400, 34.61,,
